sex,age,tp_nfMI,tp_nfIS,tp_nfHS,tp_nfdm,tp_fCHD,tp_fCBD,tp_fLC,tp_fCC,tp_fCOPD,tp_fOTH,tp_d_cvd
0,7.1999998,3.5767783e-07,7.0225155e-06,1.4852178e-06,.000034100543,2.5261795e-07,1.8621496e-07,3.9107422e-07,1.4868198e-09,3.9804650e-08,.00013425251,.0004053711
0,7.3000002,3.6460432e-07,7.0891820e-06,1.5045053e-06,.000034490564,2.5530616e-07,1.8922098e-07,3.9630663e-07,1.5434465e-09,4.0775888e-08,.0001346522,.00040660606
0,7.4000001,3.7166487e-07,7.1564809e-06,1.5240432e-06,.00003488503,2.5802296e-07,1.9227551e-07,4.0160901e-07,1.6022296e-09,4.1770821e-08,.00013505308,.00040784507
0,7.5,3.7886218e-07,7.2244188e-06,1.5438349e-06,.000035284003,2.6076864e-07,1.9537934e-07,4.0698237e-07,1.6632514e-09,4.2790031e-08,.00013545514,.00040908816
0,7.5999999,3.8619885e-07,7.2930015e-06,1.5638835e-06,.000035687546,2.6354357e-07,1.9853329e-07,4.1242757e-07,1.7265973e-09,4.3834106e-08,.00013585841,.00041033543
0,7.6999998,3.9367762e-07,7.3622355e-06,1.5841925e-06,.000036095695,2.6634802e-07,2.0173815e-07,4.1794564e-07,1.7923557e-09,4.4903658e-08,.00013626287,.00041158678
0,7.8000002,4.0130124e-07,7.4321269e-06,1.6047654e-06,.00003650854,2.6918232e-07,2.0499475e-07,4.2353759e-07,1.8606190e-09,4.5999315e-08,.00013666855,.00041284238
0,7.9000001,4.0907244e-07,7.5026815e-06,1.6256054e-06,.000036926074,2.7204678e-07,2.0830390e-07,4.2920431e-07,1.9314816e-09,4.7121699e-08,.00013707542,.00041410208
0,8,4.1699414e-07,7.5739058e-06,1.6467159e-06,.000037348396,2.7494170e-07,2.1166647e-07,4.3494686e-07,2.0050432e-09,4.8271467e-08,.00013748351,.00041536603
0,8.1000004,4.2506929e-07,7.6458064e-06,1.6681007e-06,.000037775557,2.7786746e-07,2.1508335e-07,4.4076626e-07,2.0814068e-09,4.9449298e-08,.00013789281,.0004166342
0,8.1999998,4.3330073e-07,7.7183895e-06,1.6897629e-06,.000038207585,2.8082431e-07,2.1855534e-07,4.4666345e-07,2.1606781e-09,5.0655853e-08,.00013830334,.00041790659
0,8.3000002,4.4169164e-07,7.7916620e-06,1.7117068e-06,.000038644579,2.8381268e-07,2.2208343e-07,4.5263963e-07,2.2429691e-09,5.1891863e-08,.00013871508,.00041918326
0,8.3999996,4.5024498e-07,7.8656294e-06,1.7339354e-06,.000039086546,2.8683280e-07,2.2566842e-07,4.5869569e-07,2.3283935e-09,5.3158018e-08,.00013912805,.0004204642
0,8.5,4.5896402e-07,7.9402998e-06,1.7564529e-06,.000039533577,2.8988509e-07,2.2931133e-07,4.6483282e-07,2.4170723e-09,5.4455082e-08,.00013954226,.00042174949
